Mineral_Commodity,Year,Note,Quantity,Data_type,Unit_MEAS,Form,Geographic_Region,Figure_Use,Data Sources,,,,,,,,,,,,,,,,
Cobalt,2020,estimated,160,Production,Metric tons,"Ore, Cobalt content",Brazil,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,4328,Production,Metric tons,"Ore, Cobalt content",Canada,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,2000,Production,Metric tons,"Ore, Cobalt content",China,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,100000,Production,Metric tons,"Ore, Cobalt content",Congo (Kinshasa),Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,3800,Production,Metric tons,"Ore, Cobalt content",Cuba,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,1559,Production,Metric tons,"Ore, Cobalt content",Finland,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,1100,Production,Metric tons,"Ore, Cobalt content",Indonesia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,970,Production,Metric tons,"Ore, Cobalt content",Madagascar,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,1000,Production,Metric tons,"Ore, Cobalt content",Mexico,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,1900,Production,Metric tons,"Ore, Cobalt content",Morocco,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,2200,Production,Metric tons,"Ore, Cobalt content",New Caledonia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,2941,Production,Metric tons,"Ore, Cobalt content",Papua New Guinea,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,4100,Production,Metric tons,"Ore, Cobalt content",Philippines,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,9700,Production,Metric tons,"Ore, Cobalt content",Russia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,897,Production,Metric tons,"Ore, Cobalt content",South Africa,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,rounded,147000,Production,Metric tons,"Ore, Cobalt content",Total,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,2550,Production,Metric tons,"Ore, Cobalt content",Turkey,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,estimated,600,Production,Metric tons,"Ore, Cobalt content",United States,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,316,Production,Metric tons,"Ore, Cobalt content",Zambia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,reported,956,Production,Metric tons,"Ore, Cobalt content",Zimbabwe,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,5232,Production,Metric tons,"Ore, Cobalt content",Australia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,266,Production,Metric tons,"Ore, Cobalt content",Brazil,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,3964,Production,Metric tons,"Ore, Cobalt content",Canada,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,2000,Production,Metric tons,"Ore, Cobalt content",China,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,118000,Production,Metric tons,"Ore, Cobalt content",Congo (Kinshasa),Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,3800,Production,Metric tons,"Ore, Cobalt content",Cuba,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,1084,Production,Metric tons,"Ore, Cobalt content",Finland,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,2700,Production,Metric tons,"Ore, Cobalt content",Indonesia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,"revised, estimated",2500,Production,Metric tons,"Ore, Cobalt content",Madagascar,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,1100,Production,Metric tons,"Ore, Cobalt content",Mexico,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
